KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-01-30,1.4577,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-01-31,1.4627,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-02-03,1.4647,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-02-04,1.4671,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-02-05,1.4644,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-02-06,1.461,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-02-07,1.4604,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-02-10,1.458,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-02-11,1.4495,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-02-12,1.4468,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-02-13,1.4406,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-02-14,1.4363,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-02-17,1.4334,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-02-18,1.4345,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-02-19,1.4281,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-02-20,1.4304,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-02-21,1.432,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-02-24,1.4372,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-02-25,1.4403,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-02-26,1.4469,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-02-27,1.4636,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-02-28,1.4757,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-03-02,1.4857,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-03-03,1.4857,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-03-04,1.4862,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-03-05,1.5021,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-03-06,1.5213,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-03-09,1.5613,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-03-10,1.5579,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-03-11,1.5579,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-03-12,1.5524,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-03-13,1.5389,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-03-16,1.5539,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-03-17,1.5512,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-03-18,1.5749,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-03-19,1.5623,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-03-20,1.5257,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-03-23,1.551,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-03-24,1.5716,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-03-25,1.5539,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-03-26,1.5466,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-03-27,1.5521,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-03-30,1.5626,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-03-31,1.5617,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-04-01,1.5601,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-04-02,1.5451,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-04-03,1.5299,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-04-06,1.528,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-04-07,1.5259,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-04-08,1.5233,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-04-09,1.5265,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-04-14,1.5257,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-04-15,1.533,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-04-16,1.5359,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-04-17,1.528,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-04-20,1.5325,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-04-21,1.5393,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-04-22,1.5375,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-04-23,1.5226,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-04-24,1.5173,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-04-27,1.5255,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-04-28,1.5179,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-04-29,1.5129,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-04-30,1.5077,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-05-04,1.539,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-05-05,1.5201,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-05-06,1.5225,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-05-07,1.5177,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-05-08,1.5118,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-05-11,1.5136,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-05-12,1.5178,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-05-13,1.5243,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-05-14,1.5224,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
EXR.D.CAD.EUR.SP00.A,D,CAD,EUR,SP00,A,2020-05-15,1.5231,A,F,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Canadian dollar/Euro,"ECB reference exchange rate, Canadian dollar/Euro, 2.15 pm (C.E.T.)",CAD,0
